kind,sim_t,wall_t,sim_gap_ms,wall_gap_ms,rtf,msg_count
gap,7.462000,1786527607.868082,0.00,2.02,0.000,743
gap,8.254000,1786527608.661868,0.00,1.96,0.000,1140
gap,8.254000,1786527608.663960,0.00,2.09,0.000,1141
gap,8.254000,1786527608.666091,0.00,2.13,0.000,1142
gap,19.858000,1786527620.404741,0.00,2.04,0.000,6939
gap,28.026000,1786527628.575624,0.00,1.98,0.000,11023
gap,31.724000,1786527632.273202,0.00,1.97,0.000,12872
heartbeat,35.664000,1786527636.668399,9.00,,,14841
heartbeat,58.992000,1786527666.669191,9.00,,,26503
summary,,1786527667.109706,9.00,,,26722
