cycle,sim_instance,trial_exit,grasp_result,gripper_result,achieved_grip_angle,tcp_error_m,slip_m,slip_verdict,ejected,lift_fraction,cycle_wall_s,log
1,1,0,SUCCESS,STALLED,0.4029,0.0000,0.000305,PASS,no,1.0000,91,runs/cycle_001.log
2,2,0,SUCCESS,STALLED,0.4029,0.0000,0.000247,PASS,no,1.0000,84,runs/cycle_002.log
3,3,2,NONE,NONE,,,,NO_SAMPLE,no,,240,runs/cycle_003.log
4,4,0,SUCCESS,STALLED,0.4029,0.0000,0.000335,PASS,no,1.0000,87,runs/cycle_004.log
5,5,0,SUCCESS,STALLED,0.4029,0.0000,0.000315,PASS,no,1.0000,91,runs/cycle_005.log
6,6,0,SUCCESS,STALLED,0.4029,0.0000,0.000250,PASS,no,1.0000,88,runs/cycle_006.log
7,7,0,SUCCESS,STALLED,0.4029,0.0000,0.000228,PASS,no,1.0000,94,runs/cycle_007.log
8,8,0,SUCCESS,STALLED,0.4029,0.0000,0.000331,PASS,no,1.0000,89,runs/cycle_008.log
9,9,0,SUCCESS,STALLED,0.4029,0.0000,0.000327,PASS,no,1.0000,96,runs/cycle_009.log
10,10,0,SUCCESS,STALLED,0.4029,0.0000,0.000249,PASS,no,1.0000,97,runs/cycle_010.log
11,11,0,SUCCESS,STALLED,0.4029,0.0000,0.000352,PASS,no,1.0000,88,runs/cycle_011.log
12,12,2,NONE,NONE,,,,NO_SAMPLE,no,,240,runs/cycle_012.log
13,13,0,SUCCESS,STALLED,0.4029,0.0000,0.000295,PASS,no,1.0000,79,runs/cycle_013.log
14,14,0,SUCCESS,STALLED,0.4029,0.0000,0.000345,PASS,no,1.0000,88,runs/cycle_014.log
15,15,0,SUCCESS,STALLED,0.4029,0.0000,0.000311,PASS,no,1.0000,94,runs/cycle_015.log
16,16,2,NONE,NONE,,,,NO_SAMPLE,no,,240,runs/cycle_016.log
17,17,0,SUCCESS,STALLED,0.4029,0.0000,0.000347,PASS,no,1.0000,85,runs/cycle_017.log
18,18,0,SUCCESS,STALLED,0.4029,0.0000,0.000311,PASS,no,1.0000,87,runs/cycle_018.log
19,19,0,SUCCESS,STALLED,0.4029,0.0000,0.000320,PASS,no,1.0000,96,runs/cycle_019.log
20,20,0,SUCCESS,STALLED,0.4029,0.0000,0.000349,PASS,no,1.0000,91,runs/cycle_020.log
