attempt_status,cycle,attempt,trial_exit,grasp_result,gripper_result,achieved_grip_angle,tcp_error_m,slip_m,slip_verdict,ejected,lift_fraction,cycle_wall_s,log
RAN,1,1,0,SUCCESS,STALLED,0.4029,0.0000,0.000311,PASS,no,1.0000,108,runs/attempt_001.log
RAN,2,2,0,SUCCESS,STALLED,0.4029,0.0000,0.000353,PASS,no,1.0000,105,runs/attempt_002.log
RAN,3,3,0,SUCCESS,STALLED,0.4029,0.0000,0.000250,PASS,no,1.0000,98,runs/attempt_003.log
RAN,4,4,0,SUCCESS,STALLED,0.4029,0.0000,0.000377,PASS,no,1.0000,94,runs/attempt_004.log
RAN,5,5,0,SUCCESS,TIMED_OUT_HELD,0.4029,0.0000,0.000356,PASS,no,1.0000,88,runs/attempt_005.log
RAN,6,6,0,SUCCESS,STALLED,0.4029,0.0000,0.000332,PASS,no,1.0000,88,runs/attempt_006.log
RAN,7,7,0,SUCCESS,STALLED,0.4029,0.0000,0.000289,PASS,no,1.0000,76,runs/attempt_007.log
RAN,8,8,0,SUCCESS,STALLED,0.4029,0.0000,0.000442,PASS,no,1.0000,81,runs/attempt_008.log
RAN,9,9,0,SUCCESS,STALLED,0.4029,0.0000,0.000326,PASS,no,1.0000,89,runs/attempt_009.log
RAN,10,10,0,SUCCESS,STALLED,0.4029,0.0000,0.000407,PASS,no,1.0000,91,runs/attempt_010.log
RAN,11,11,0,SUCCESS,STALLED,0.4029,0.0000,0.000342,PASS,no,1.0000,83,runs/attempt_011.log
RAN,12,12,0,SUCCESS,STALLED,0.4029,0.0000,0.000283,PASS,no,1.0000,88,runs/attempt_012.log
RAN,13,13,0,SUCCESS,STALLED,0.4029,0.0000,0.000307,PASS,no,1.0000,92,runs/attempt_013.log
RAN,14,14,0,SUCCESS,STALLED,0.4029,0.0000,0.000320,PASS,no,1.0000,88,runs/attempt_014.log
RAN,15,15,0,SUCCESS,STALLED,0.4029,0.0000,0.000323,PASS,no,1.0000,83,runs/attempt_015.log
RAN,16,16,0,SUCCESS,STALLED,0.4029,0.0000,0.000290,PASS,no,1.0000,82,runs/attempt_016.log
RAN,17,17,0,SUCCESS,STALLED,0.4029,0.0000,0.000378,PASS,no,1.0000,91,runs/attempt_017.log
RAN,18,18,0,SUCCESS,STALLED,0.4029,0.0000,0.000328,PASS,no,1.0000,94,runs/attempt_018.log
RAN,19,19,0,SUCCESS,STALLED,0.4029,0.0000,0.000227,PASS,no,1.0000,84,runs/attempt_019.log
RAN,20,20,0,SUCCESS,STALLED,0.4029,0.0000,0.000294,PASS,no,1.0000,89,runs/attempt_020.log
