cycle,sim_instance,trial_exit,grasp_result,gripper_result,achieved_grip_angle,tcp_error_m,slip_m,slip_verdict,ejected,lift_fraction,cycle_wall_s,log
1,1,0,SUCCESS,TIMED_OUT_HELD,0.4031,0.0000,0.002346,PASS,no,1.0000,96,runs/cycle_001.log
2,2,0,SUCCESS,TIMED_OUT_HELD,0.4032,0.0000,0.350591,FAIL,yes,1.0000,114,runs/cycle_002.log
3,3,0,SUCCESS,TIMED_OUT_HELD,0.4031,0.0000,0.001863,PASS,no,1.0000,121,runs/cycle_003.log
4,4,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.002204,PASS,no,1.0000,135,runs/cycle_004.log
5,5,0,SUCCESS,TIMED_OUT_HELD,0.4037,0.0000,0.369977,FAIL,yes,1.0000,88,runs/cycle_005.log
6,6,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.003117,PASS,no,1.0000,125,runs/cycle_006.log
7,7,0,SUCCESS,TIMED_OUT_HELD,0.4032,0.0000,0.350580,FAIL,yes,1.0000,125,runs/cycle_007.log
8,8,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.002435,PASS,no,1.0000,89,runs/cycle_008.log
9,9,0,SUCCESS,TIMED_OUT_HELD,0.4031,0.0000,0.001973,PASS,no,1.0000,130,runs/cycle_009.log
10,10,0,SUCCESS,STALLED,0.4030,0.0000,0.002607,PASS,no,1.0000,122,runs/cycle_010.log
11,11,0,SUCCESS,TIMED_OUT_HELD,0.4031,0.0000,0.001551,PASS,no,1.0000,125,runs/cycle_011.log
12,12,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.002336,PASS,no,1.0000,122,runs/cycle_012.log
13,13,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.002244,PASS,no,1.0000,94,runs/cycle_013.log
14,14,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.002357,PASS,no,1.0000,122,runs/cycle_014.log
15,15,0,SUCCESS,TIMED_OUT_HELD,0.4046,0.0000,0.350423,FAIL,yes,1.0000,89,runs/cycle_015.log
16,16,0,SUCCESS,TIMED_OUT_HELD,0.4029,0.0000,0.002545,PASS,no,1.0000,124,runs/cycle_016.log
17,17,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.002253,PASS,no,1.0000,123,runs/cycle_017.log
18,18,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.350635,FAIL,yes,1.0000,121,runs/cycle_018.log
19,19,0,SUCCESS,TIMED_OUT_HELD,0.4032,0.0000,0.350672,FAIL,yes,1.0000,118,runs/cycle_019.log
20,20,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.002595,PASS,no,1.0000,125,runs/cycle_020.log
