cycle,sim_instance,trial_exit,grasp_result,gripper_result,achieved_grip_angle,tcp_error_m,slip_m,slip_verdict,ejected,lift_fraction,cycle_wall_s,log
1,1,0,GRASP_LOST_DURING_LIFT,STALLED,0.4033,0.0000,,NO_SAMPLE,no,1.0000,73,runs/cycle_001.log
2,2,0,GRASP_LOST_DURING_LIFT,TIMED_OUT_HELD,0.4031,0.0000,,NO_SAMPLE,no,1.0000,74,runs/cycle_002.log
3,3,0,GRASP_LOST_DURING_LIFT,STALLED,0.4030,0.0000,,NO_SAMPLE,no,1.0000,113,runs/cycle_003.log
4,4,0,GRASP_LOST_DURING_LIFT,STALLED,0.4030,0.0000,,NO_SAMPLE,no,1.0000,109,runs/cycle_004.log
5,5,0,GRASP_LOST_DURING_LIFT,TIMED_OUT_HELD,0.4031,0.0000,,NO_SAMPLE,no,1.0000,109,runs/cycle_005.log
6,6,0,GRASP_LOST_DURING_LIFT,STALLED,0.4033,0.0000,,NO_SAMPLE,no,1.0000,71,runs/cycle_006.log
7,7,0,GRASP_LOST_DURING_LIFT,STALLED,0.4031,0.0000,,NO_SAMPLE,no,1.0000,105,runs/cycle_007.log
8,8,0,GRASP_LOST_DURING_LIFT,STALLED,0.4030,0.0000,,NO_SAMPLE,no,1.0000,77,runs/cycle_008.log
9,9,0,GRASP_LOST_DURING_LIFT,STALLED,0.4030,0.0000,,NO_SAMPLE,no,1.0000,114,runs/cycle_009.log
10,10,0,GRASP_LOST_DURING_LIFT,STALLED,0.4030,0.0000,,NO_SAMPLE,no,1.0000,115,runs/cycle_010.log
11,11,0,GRASP_LOST_DURING_LIFT,STALLED,0.4029,0.0000,,NO_SAMPLE,no,1.0000,116,runs/cycle_011.log
12,12,0,GRASP_LOST_DURING_LIFT,STALLED,0.4029,0.0000,,NO_SAMPLE,no,1.0000,80,runs/cycle_012.log
13,13,1,NONE,NONE,,0.0000,,NO_SAMPLE,no,1.0000,189,runs/cycle_013.log
14,14,0,GRASP_LOST_DURING_LIFT,STALLED,0.4030,0.0000,,NO_SAMPLE,no,1.0000,81,runs/cycle_014.log
15,15,0,GRASP_LOST_DURING_LIFT,STALLED,0.4030,0.0000,,NO_SAMPLE,no,1.0000,112,runs/cycle_015.log
16,16,0,GRASP_LOST_DURING_LIFT,TIMED_OUT_HELD,0.4031,0.0000,,NO_SAMPLE,no,1.0000,114,runs/cycle_016.log
17,17,0,GRASP_LOST_DURING_LIFT,STALLED,0.4030,0.0000,,NO_SAMPLE,no,1.0000,116,runs/cycle_017.log
18,18,0,GRASP_LOST_DURING_LIFT,TIMED_OUT_HELD,0.4038,0.0000,,NO_SAMPLE,no,1.0000,119,runs/cycle_018.log
19,19,0,GRASP_LOST_DURING_LIFT,TIMED_OUT_HELD,0.4030,0.0000,,NO_SAMPLE,no,1.0000,116,runs/cycle_019.log
20,20,2,NONE,NONE,,,,NO_SAMPLE,no,,262,runs/cycle_020.log
