cycle,sim_instance,trial_exit,grasp_result,gripper_result,achieved_grip_angle,tcp_error_m,slip_m,slip_verdict,ejected,lift_fraction,cycle_wall_s,log
1,1,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.002227,PASS,no,1.0000,124,runs/cycle_001.log
2,2,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.002412,PASS,no,1.0000,127,runs/cycle_002.log
3,3,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.002505,PASS,no,1.0000,135,runs/cycle_003.log
4,4,0,SUCCESS,STALLED,0.4030,0.0000,0.002236,PASS,no,1.0000,118,runs/cycle_004.log
5,5,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.002028,PASS,no,1.0000,129,runs/cycle_005.log
6,6,2,NONE,NONE,,,0.003117,PASS,no,,302,runs/cycle_006.log
7,7,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.350280,FAIL,yes,1.0000,118,runs/cycle_007.log
8,8,0,SUCCESS,TIMED_OUT_HELD,0.4029,0.0000,0.002762,PASS,no,1.0000,129,runs/cycle_008.log
9,9,0,SUCCESS,TIMED_OUT_HELD,0.4031,0.0000,0.001343,PASS,no,1.0000,132,runs/cycle_009.log
10,10,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.002346,PASS,no,1.0000,128,runs/cycle_010.log
11,11,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.350656,FAIL,yes,1.0000,120,runs/cycle_011.log
12,12,0,SUCCESS,TIMED_OUT_HELD,0.4031,0.0000,0.350600,FAIL,yes,1.0000,127,runs/cycle_012.log
13,13,0,SUCCESS,TIMED_OUT_HELD,0.4033,0.0000,0.350560,FAIL,yes,1.0000,130,runs/cycle_013.log
14,14,0,SUCCESS,STALLED,0.4186,0.0000,0.350821,FAIL,yes,1.0000,121,runs/cycle_014.log
15,15,0,SUCCESS,TIMED_OUT_HELD,0.4032,0.0000,0.001178,PASS,no,1.0000,128,runs/cycle_015.log
16,16,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.350863,FAIL,yes,1.0000,124,runs/cycle_016.log
17,17,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.002589,PASS,no,1.0000,131,runs/cycle_017.log
18,18,0,SUCCESS,TIMED_OUT_HELD,0.4031,0.0000,0.002146,PASS,no,1.0000,128,runs/cycle_018.log
19,19,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.002469,PASS,no,1.0000,130,runs/cycle_019.log
20,20,0,SUCCESS,TIMED_OUT_HELD,0.4030,0.0000,0.350869,FAIL,yes,1.0000,121,runs/cycle_020.log
